RecordTime,Battery(V),Rate,Sensor0,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13
41017.79167,10.4,Normal,42.85,39.37,43.85,57.46,38.38,42.06,42.85,17.79,48.14,56.45,49.24,55.75,54.55,52.14
41017.83333,10.4,Normal,40.96,37.09,43.65,52.04,40.86,41.76,42.46,17.39,48.54,56.66,49.54,55.45,54.55,57.36
41017.875,10.5,Normal,39.97,34.71,44.65,51.44,38.68,42.65,42.65,17,46.64,53.14,50.14,55.95,55.75,
41017.91667,10.4,Normal,42.26,36.6,45.54,53.54,39.87,42.06,42.85,12.32,46.44,55.45,51.54,55.85,56.25,
41017.95833,10.4,Normal,38.48,42.55,43.05,55.25,40.66,42.16,42.75,12.51,46.44,55.15,51.84,56.25,57.16,
41018,10.3,Normal,35.01,43.75,38.08,55.95,41.86,42.16,42.75,13.1,47.24,56.25,52.04,56.45,56.56,
41018.04167,10.4,Normal,33.53,44.15,37.69,55.75,41.76,42.46,42.75,13.39,47.24,55.65,51.94,56.66,58.47,
41018.08333,10.4,Normal,32.64,44.65,36.69,56.45,42.85,42.85,42.65,12.71,47.14,55.65,52.54,56.66,57.26,
41018.125,10.4,Normal,35.31,41.46,39.47,56.25,40.66,43.05,42.65,12.02,45.94,55.65,52.34,56.76,58.36,
41018.16667,10.3,Normal,32.83,45.74,36.4,55.45,40.66,42.46,42.95,12.02,46.44,56.05,52.24,56.56,56.56,75.77
41018.20833,10.3,Normal,33.33,41.16,37.59,56.15,41.16,42.36,43.25,12.41,45.34,54.35,51.54,56.35,56.66,90.92
41018.25,10.4,Normal,34.42,43.15,38.38,54.85,41.76,42.16,42.95,11.93,45.94,55.85,52.34,56.66,57.06,97.41
41018.29167,10.4,Normal,32.83,44.45,36.79,54.65,40.37,42.36,43.05,12.32,46.24,55.95,52.04,56.66,56.56,99.99
41018.33333,10.4,Normal,33.53,45.84,37.09,55.85,40.47,42.75,43.05,13.88,46.84,55.75,52.64,56.86,57.06,
41018.375,10.4,Normal,33.82,46.04,37.09,56.25,40.37,49.44,43.35,14.46,47.24,55.95,52.74,56.86,58.26,
41018.41667,10.5,Normal,36.3,44.85,39.77,56.35,42.06,74.65,43.65,17.39,46.44,55.35,52.64,56.86,57.56,
41018.45833,10.4,Normal,46.04,44.45,48.44,56.25,43.75,,43.45,20.92,48.14,55.25,51.34,56.86,57.96,
41018.5,10.5,Normal,47.14,45.04,51.24,55.15,45.14,43.55,44.05,25.93,49.04,57.26,54.05,57.26,57.16,
41018.54167,10.5,Normal,46.64,45.14,49.94,57.66,44.25,43.55,44.15,24.75,48.34,55.55,52.24,57.46,57.86,
41018.58333,10.5,Normal,49.74,47.14,53.24,57.86,46.94,44.35,44.35,26.72,50.54,55.85,53.74,57.76,58.97,
41018.625,10.5,Normal,46.64,44.55,50.14,55.25,46.44,44.65,44.65,27.5,49.74,55.35,53.54,57.96,58.57,
41018.66667,10.6,Normal,46.74,43.65,49.24,57.06,46.24,56.86,44.95,28.88,49.54,55.55,53.84,58.16,59.67,
41018.70833,10.5,Normal,43.75,41.16,47.94,55.05,46.04,52.54,45.24,26.52,49.14,56.45,53.54,58.16,58.97,
41018.75,10.5,Normal,43.75,41.36,47.24,52.04,46.34,57.86,46.04,27.01,49.64,56.86,54.05,58.36,58.97,
41018.79167,10.6,Normal,36.4,42.36,40.96,55.45,44.05,47.84,45.64,25.34,48.54,57.86,54.05,58.26,57.86,
41018.875,10.4,Normal,35.21,45.24,39.08,56.96,44.45,,45.64,23.96,48.74,57.96,54.85,58.47,58.47,
41018.91667,10.4,Normal,35.31,45.04,37.69,56.05,45.04,45.74,45.74,21.51,48.64,58.16,54.65,58.77,60.28,
41018.95833,10.5,Normal,33.92,45.74,38.58,56.05,45.84,,45.54,14.76,49.34,57.86,54.65,58.97,58.67,
41019,10.4,Normal,35.9,44.85,40.07,54.45,46.34,45.44,45.64,20.43,49.54,57.56,54.85,59.27,60.88,
41019.04167,10.3,Normal,33.82,46.04,37.59,57.06,45.34,62.09,45.54,26.82,49.14,58.57,55.15,59.27,60.28,
41019.08333,10.3,Normal,33.72,45.84,37.49,56.76,45.14,47.34,45.64,15.24,49.14,58.06,55.65,59.67,58.67,
41019.125,10.3,Normal,33.92,46.34,37.69,57.16,45.04,45.64,45.54,10.56,49.24,57.66,55.25,59.57,59.67,
41019.16667,10.4,Normal,33.72,47.34,37.79,56.76,44.85,46.04,45.64,11.34,49.24,57.96,55.35,59.67,60.68,
41019.20833,10.4,Normal,33.33,47.14,37.29,56.35,43.95,46.24,45.44,11.73,49.04,58.36,54.85,59.77,61.29,
41019.25,10.3,Normal,34.22,45.44,38.98,57.46,43.95,48.04,45.54,12.51,49.24,59.17,55.45,59.87,60.38,
41019.29167,10.4,Normal,33.13,47.14,37.49,57.46,42.55,,45.24,14.17,49.34,58.87,55.05,59.87,59.37,
41019.33333,10.4,Normal,33.53,46.14,37.59,56.96,42.95,,45.24,14.85,49.54,57.86,55.95,60.08,59.77,
41019.375,10.4,Normal,37.19,48.64,40.76,56.86,45.24,,45.64,21.7,50.54,59.27,56.86,60.28,60.68,
41019.41667,10.5,Normal,39.57,49.44,44.25,57.76,47.04,,45.84,34.42,51.54,59.67,57.76,60.58,62.29,
41019.45833,10.5,Normal,42.06,50.84,45.54,58.47,47.94,,46.14,35.6,52.64,58.16,58.36,61.08,62.39,
41019.5,10.6,Normal,44.95,51.44,47.84,61.29,49.14,,46.44,30.36,53.04,60.78,58.06,61.39,62.29,
41019.54167,10.6,Normal,46.34,50.44,50.34,60.58,50.54,,46.94,32.34,54.05,61.29,59.67,61.79,63,
41019.58333,10.6,Normal,47.74,50.14,51.74,61.29,51.14,,47.64,33.72,54.25,61.69,59.57,62.09,62.5,
41019.625,10.6,Normal,47.94,49.04,52.44,60.28,50.74,59.37,48.04,32.93,54.35,61.69,59.27,62.39,63,
41019.66667,10.6,Normal,44.95,47.44,49.04,60.78,50.74,50.54,48.74,32.83,54.15,61.89,58.67,62.6,64.11,
41019.70833,10.6,Normal,45.34,46.44,49.54,58.87,51.44,52.14,48.84,35.21,54.25,60.88,58.16,62.6,62.6,
41019.75,10.6,Normal,42.26,46.54,46.94,61.99,51.94,51.04,49.04,31.05,53.74,61.39,58.47,62.5,63.81,
41019.79167,10.6,Normal,41.76,49.54,45.24,61.08,52.14,50.84,49.04,22.69,53.54,61.89,58.67,62.6,63.3,
41019.83333,10.5,Normal,43.15,47.54,46.54,59.37,52.94,55.85,49.54,20.53,52.74,62.09,58.57,62.6,62.7,
41019.875,10.5,Normal,42.26,50.24,45.24,60.18,50.34,50.44,49.64,21.02,52.84,61.89,58.57,62.6,62.39,
41019.875,10.5,Normal,42.26,50.24,45.24,60.18,50.34,50.44,49.64,21.02,52.84,61.89,58.57,62.6,62.39,
41019.91667,10.5,Normal,42.16,50.84,45.54,57.56,51.14,50.44,49.44,19.74,52.44,61.99,58.47,62.7,62.29,
41019.95833,10.4,Normal,40.47,50.94,43.85,59.87,50.54,50.74,49.74,18.86,52.44,61.59,57.56,62.6,62.5,
41020,10.4,Normal,48.84,46.14,49.54,58.36,49.34,53.04,49.74,20.23,51.94,60.58,56.25,61.99,62.29,84.35
41020.08333,10.5,Normal,47.24,42.36,50.34,55.05,45.34,48.44,49.34,21.31,51.44,59.77,56.05,61.59,61.69,80.16
41020.125,10.5,Normal,39.87,45.84,43.95,58.47,45.54,47.94,48.94,16.12,50.84,60.58,57.36,61.39,61.69,
41020.16667,10.5,Normal,36.79,48.04,40.47,60.58,46.64,48.04,48.94,11.63,51.04,60.28,57.36,61.39,62.19,
41020.20833,10.5,Normal,36.3,48.14,40.47,58.16,45.94,48.44,48.94,14.17,50.84,60.28,57.16,61.59,60.88,
41020.25,10.4,Normal,37.69,48.24,40.86,59.47,46.44,48.04,49.04,14.95,50.74,60.28,56.86,61.49,61.89,
41020.29167,10.4,Normal,36.69,48.64,39.47,59.07,46.54,50.64,49.04,13.49,50.64,60.08,56.66,61.59,60.68,
41020.33333,10.4,Normal,37.49,49.54,41.26,58.36,46.14,49.44,49.24,15.93,50.74,60.18,57.06,61.49,62.9,
41020.375,10.5,Normal,39.27,49.04,42.85,58.77,47.04,,49.04,33.82,51.64,61.08,57.86,61.69,61.79,
41020.41667,10.4,Normal,40.96,51.04,44.85,58.97,48.34,,49.34,37.39,52.64,60.78,59.07,61.99,62.09,
41020.45833,10.6,Normal,43.05,52.34,47.14,59.07,49.84,,49.64,33.03,53.84,61.79,59.67,62.29,63.71,
41020.5,10.6,Normal,47.64,50.74,51.64,61.99,51.74,,49.84,33.43,55.25,62.29,60.08,62.6,62.6,
41020.54167,10.5,Normal,52.14,49.64,55.75,59.57,51.84,51.34,50.64,33.33,55.55,60.78,59.67,62.9,64.51,
41020.58333,10.6,Normal,48.54,49.54,52.24,59.67,51.04,,50.74,38.48,55.45,62.5,59.27,63.1,63.1,
41020.625,10.6,Normal,50.94,48.94,53.14,60.08,50.84,87.73,51.44,40.86,55.25,59.47,56.56,63.2,63.2,
41020.66667,10.6,Normal,51.44,47.24,53.54,58.06,50.74,,51.64,35.11,55.25,60.58,57.66,63.1,62.8,
41020.70833,10.6,Normal,49.14,48.34,52.04,60.68,49.64,,51.64,34.61,54.55,60.68,57.66,62.8,63.2,
41020.75,10.6,Normal,51.44,46.74,51.94,58.06,47.14,,51.24,32.73,54.05,58.87,56.05,62.29,63.1,
41020.79167,10.6,Normal,51.14,45.74,51.34,55.75,45.34,49.84,50.84,26.42,53.74,59.37,56.15,62.19,60.48,
41020.83333,10.6,Normal,50.34,45.84,49.84,52.74,44.75,63.3,50.54,25.24,53.54,59.17,56.35,61.89,61.49,
41020.875,10.6,Normal,49.04,44.25,50.24,56.56,44.15,74.14,50.14,24.55,52.84,60.58,55.15,61.49,60.78,
41020.91667,10.5,Normal,49.54,45.54,53.14,57.96,44.35,69.47,49.74,21.9,52.24,60.38,55.75,61.49,59.67,
41020.95833,10.4,Normal,42.26,42.26,44.95,58.16,44.25,,49.44,21.8,51.34,60.08,55.75,61.29,62.39,
41021,10.5,Normal,40.66,46.04,45.14,58.47,43.55,54.55,49.44,19.45,50.74,59.07,56.15,61.29,60.88,
41021.04167,10.4,Normal,37.59,46.34,40.57,57.36,43.25,65.93,49.14,20.92,50.94,59.77,55.95,60.98,61.29,
41021.08333,10.4,Normal,47.04,44.35,49.04,54.05,42.55,,48.84,20.92,51.34,57.56,54.05,60.98,60.78,
41021.125,10.4,Normal,48.44,44.95,48.94,54.65,42.95,,49.04,21.7,51.14,56.86,53.44,60.48,58.36,
41021.16667,10.4,Normal,46.34,43.65,49.04,57.26,41.96,,48.34,15.24,50.54,58.77,54.65,60.58,58.97,
41021.20833,10.4,Normal,36.6,46.34,39.17,55.85,39.08,60.58,48.34,13.58,49.44,58.36,54.05,60.28,60.08,
41021.25,10.4,Normal,36,45.64,39.08,56.96,39.87,60.98,47.64,12.51,48.14,57.76,54.45,60.18,59.67,
41021.29167,10.4,Normal,35.7,46.94,38.38,56.96,39.17,60.38,47.44,14.46,48.74,57.96,54.85,60.18,59.17,
41021.33333,10.4,Normal,35.31,45.54,39.27,56.45,40.66,,47.24,26.82,49.84,58.57,55.25,60.28,59.57,
